revenue|sales|city
1552600|3|Cambridge
345468|3|London
1012061|3|Durham
21651|3|London
769095|4|Oxford
1482607|4|Cambridge
777250|3|Oxford
1588503|3|Cambridge
1094989|3|Durham
432080|4|London
1601052|3|Cambridge
1767579|3|Cambridge
1537699|3|Cambridge
1373219|1|Cambridge
500187|3|Oxford
1092599|4|Durham
1658152|2|Cambridge
1769559|3|Cambridge
525099|3|Oxford
1515958|4|Cambridge
1140644|3|Durham
12175|1|London
426248|3|London
915322|2|Durham
946801|3|Durham
884679|1|Oxford
1097349|3|Durham
1205340|1|Durham
617831|3|Oxford
317922|3|London
995805|4|Durham
812398|3|Oxford
379699|2|London
1625603|2|Cambridge
188359|2|London
1478289|1|Cambridge
414584|4|London
1503407|4|Cambridge
1598545|3|Cambridge
886091|4|Oxford
906494|3|Durham
1027968|4|Durham
593342|3|Oxford
1646874|4|Cambridge
865112|2|Oxford
1437819|3|Cambridge
479735|2|Oxford
759787|4|Oxford
1180371|3|Durham
952632|3|Durham
661762|3|Oxford
1718286|3|Cambridge
1147625|1|Durham
734986|3|Oxford
347086|2|London
574571|3|Oxford
1288631|3|Durham
1564226|3|Cambridge
560175|2|Oxford
1366946|4|Cambridge
82375|2|London
1429099|3|Cambridge
1413446|4|Cambridge
473134|4|Oxford
1104442|3|Durham
1004170|3|Durham
1601162|3|Cambridge
1539816|3|Cambridge
696600|4|Oxford
1603796|1|Cambridge
1053448|3|Durham
1203743|3|Durham
774507|2|Oxford
1587900|3|Cambridge
1107436|2|Durham
859441|3|Oxford
419312|4|London
164518|4|London
1392249|3|Cambridge
797186|4|Oxford
1607197|4|Cambridge
1581577|3|Cambridge
1429000|1|Cambridge
781031|3|Oxford
1272849|3|Durham
722750|2|Oxford
1541989|2|Cambridge
739960|3|Oxford
710524|1|Oxford
215694|3|London
465152|1|Oxford
519560|4|Oxford
1559667|4|Cambridge
1006953|3|Durham
189349|3|London
1101583|3|Durham
362550|1|London
225590|4|London
789898|3|Oxford
30586|4|London
915677|3|Durham
934653|4|Durham
13324|3|London
1197279|2|Durham
768045|1|Oxford
1270093|3|Durham
910022|3|Durham
265754|3|London
1266593|1|Durham
962382|3|Durham
588128|2|Oxford
1494197|3|Cambridge
895250|2|Oxford
1700217|2|Cambridge
266466|3|London
419186|3|London
473983|3|Oxford
893654|3|Oxford
1153239|3|Durham
740300|4|Oxford
869482|2|Oxford
1252203|4|Durham
1366551|2|Cambridge
818533|2|Oxford
1043797|4|Durham
864184|3|Oxford
272616|3|London
1629970|3|Cambridge
1377814|2|Cambridge
1166784|3|Durham
916970|4|Durham
631357|3|Oxford
474334|1|Oxford
1511303|3|Cambridge
1123370|1|Durham
325176|2|London
306120|3|London
801688|3|Oxford
60558|3|London
688782|3|Oxford
1187889|1|Durham
1596184|4|Cambridge
283626|3|London
1775018|3|Cambridge
1525431|3|Cambridge
1718506|3|Cambridge
747124|4|Oxford
509006|4|Oxford
1118|3|London
790180|2|Oxford
1098621|3|Durham
978311|3|Durham
1172391|4|Durham
566441|4|Oxford
1322123|3|Durham
128996|4|London
1250884|3|Durham
808318|1|Oxford
174547|4|London
1128914|3|Durham
1429313|3|Cambridge
1483203|2|Cambridge
1135094|3|Durham
809791|4|Oxford
614477|1|Oxford
916177|3|Durham
438094|4|London
160890|4|London
597759|2|Oxford
108269|3|London
715962|3|Oxford
863497|2|Oxford
492484|4|Oxford
678753|2|Oxford
456093|3|Oxford
836787|3|Oxford
657215|4|Oxford
61071|3|London
758719|3|Oxford
1153664|2|Durham
556147|3|Oxford
1362196|3|Cambridge
41677|3|London
486109|3|Oxford
124464|2|London
413507|2|London
1132787|3|Durham
1745781|4|Cambridge
1149059|4|Durham
993063|3|Durham
890270|3|Oxford
453607|4|Oxford
841275|3|Oxford
61326|3|London
963849|3|Durham
1163145|4|Durham
1267141|4|Durham
1077303|3|Durham
174938|4|London
1150682|3|Durham
1546679|1|Cambridge
999945|1|Durham
1760144|3|Cambridge
626072|3|Oxford
817320|3|Oxford
755335|3|Oxford
1517359|2|Cambridge
1054267|1|Durham
1690538|1|Cambridge
1122061|4|Durham
1652898|3|Cambridge
414013|3|London
1381974|4|Cambridge
1031776|3|Durham
539506|3|Oxford
1288743|3|Durham
1688207|2|Cambridge
179207|2|London
1559039|1|Cambridge
1121934|3|Durham
1290935|2|Durham
1137802|3|Durham
1521933|3|Cambridge
709320|4|Oxford
1421239|4|Cambridge
177164|4|London
717504|3|Oxford
1781648|2|Cambridge
1442857|3|Cambridge
672509|1|Oxford
1554978|2|Cambridge
1045021|3|Durham
1080338|1|Durham
491410|4|Oxford
449473|3|Oxford
839116|3|Oxford
1348457|2|Cambridge
730995|3|Oxford
1205183|4|Durham
1689783|1|Cambridge
1269478|3|Durham
1193432|3|Durham
1349736|3|Cambridge
352837|3|London
1668145|3|Cambridge
1662320|2|Cambridge
562591|3|Oxford
1268702|3|Durham
710807|3|Oxford
1556202|4|Cambridge
1733945|3|Cambridge
1767321|4|Cambridge
1604354|2|Cambridge
218720|2|London
535077|3|Oxford
129668|2|London
336131|1|London
385575|3|London
1346866|1|Cambridge
528581|1|Oxford
733635|3|Oxford
1762424|4|Cambridge
766292|2|Oxford
1076174|3|Durham
1321405|4|Durham
376047|3|London
1012533|1|Durham
401157|3|London
695555|2|Oxford
1638267|3|Cambridge
946634|4|Durham
1105139|2|Durham
1476267|3|Cambridge
67877|1|London
1565684|3|Cambridge
1208799|2|Durham
680662|4|Oxford
1734447|2|Cambridge
132362|4|London
1785717|3|Cambridge
737233|3|Oxford
1769406|3|Cambridge
1768043|2|Cambridge
84485|3|London
529642|3|Oxford
621712|3|Oxford
730736|4|Oxford
663306|3|Oxford
30817|4|London
1166968|3|Durham
515598|1|Oxford
750993|3|Oxford
1550120|3|Cambridge
425934|1|London
1264810|2|Durham
1758425|4|Cambridge
1543802|3|Cambridge
1599152|4|Cambridge
1114445|2|Durham
380136|2|London
752615|4|Oxford
867414|3|Oxford
1151094|2|Durham
480383|3|Oxford
617651|3|Oxford
1318757|2|Durham
840954|4|Oxford
1451416|3|Cambridge
396033|3|London
689808|1|Oxford
1513832|2|Cambridge
721988|1|Oxford
245930|1|London
616323|4|Oxford
852645|4|Oxford
949108|4|Durham
33966|4|London
29722|3|London
1546040|4|Cambridge
818243|1|Oxford
1207906|2|Durham
611064|4|Oxford
1099991|2|Durham
549412|1|Oxford
845439|2|Oxford
631458|3|Oxford
508632|3|Oxford
1396589|2|Cambridge
185465|3|London
7276|2|London
61924|2|London
934942|2|Durham
867815|2|Oxford
241315|4|London
208490|4|London
722074|4|Oxford
889686|3|Oxford
1643250|4|Cambridge
111479|3|London
454085|3|Oxford
799512|3|Oxford
742939|2|Oxford
818385|3|Oxford
1545383|3|Cambridge
62760|4|London
1195394|3|Durham
1530745|1|Cambridge
975195|3|Durham
772789|3|Oxford
1492371|1|Cambridge
874215|3|Oxford
622593|3|Oxford
1197364|3|Durham
865010|3|Oxford
934446|1|Durham
1729048|3|Cambridge
669097|3|Oxford
1164189|3|Durham
430500|2|London
1392193|4|Cambridge
79071|4|London
986519|1|Durham
1254063|3|Durham
1674810|3|Cambridge
140273|4|London
1672644|3|Cambridge
1727655|3|Cambridge
260663|4|London
1057720|3|Durham
810218|3|Oxford
761274|3|Oxford
1102364|4|Durham
1415020|3|Cambridge
738775|2|Oxford
1062048|2|Durham
871052|2|Oxford
561965|3|Oxford
1193567|3|Durham
274850|4|London
1385008|3|Cambridge
1471955|3|Cambridge
1227326|4|Durham
690485|1|Oxford
979543|4|Durham
1572496|3|Cambridge
165608|4|London
567278|4|Oxford
753832|2|Oxford
170874|2|London
1530156|2|Cambridge
1693563|3|Cambridge
592782|3|Oxford
411020|2|London
1627554|4|Cambridge
1216139|1|Durham
748942|3|Oxford
22043|3|London
1289704|2|Durham
818455|3|Oxford
2733|3|London
454708|3|Oxford
167728|2|London
445394|3|London
1345694|3|Durham
1073238|1|Durham
797501|1|Oxford
1630342|3|Cambridge
499922|3|Oxford
1603015|2|Cambridge
1218569|4|Durham
132117|2|London
152740|2|London
1391878|2|Cambridge
269348|2|London
746753|3|Oxford
850131|3|Oxford
1597127|3|Cambridge
1122960|4|Durham
612693|1|Oxford
835419|3|Oxford
1164167|2|Durham
946100|2|Durham
709216|3|Oxford
458555|3|Oxford
1155690|3|Durham
418191|4|London
1177887|1|Durham
1785028|1|Cambridge
571482|2|Oxford
355804|4|London
1423357|4|Cambridge
246850|4|London
1113803|3|Durham
1667317|1|Cambridge
783124|3|Oxford
1425406|3|Cambridge
529304|4|Oxford
158698|3|London
1271215|2|Durham
841982|3|Oxford
274877|3|London
1434895|3|Cambridge
921739|1|Durham
1363169|3|Cambridge
1330850|3|Durham
913399|2|Durham
991850|1|Durham
249617|3|London
1312271|3|Durham
933381|2|Durham
1016453|4|Durham
364962|4|London
496532|2|Oxford
279947|3|London
369437|3|London
1540770|2|Cambridge
636219|3|Oxford
271076|3|London
255677|4|London
1550168|2|Cambridge
1051345|4|Durham
732812|3|Oxford
1091725|3|Durham
393921|4|London
1616538|2|Cambridge
1574678|3|Cambridge
613352|4|Oxford
853666|4|Oxford
858144|3|Oxford
1104974|2|Durham
184043|2|London
1065680|3|Durham
923362|2|Durham
513158|2|Oxford
996996|2|Durham
1589545|4|Cambridge
1291943|1|Durham
1141714|4|Durham
693548|3|Oxford
573584|2|Oxford
1178368|4|Durham
1256350|3|Durham
1634489|3|Cambridge
1754579|2|Cambridge
1604362|3|Cambridge
110536|3|London
855872|2|Oxford
579086|3|Oxford
1400706|3|Cambridge
996032|4|Durham
444211|3|London
1736682|2|Cambridge
1696442|1|Cambridge
739074|3|Oxford
525478|3|Oxford
1016346|2|Durham
385524|1|London
1305189|3|Durham
1495127|1|Cambridge
969522|3|Durham
844870|3|Oxford
942795|3|Durham
1529375|3|Cambridge
117079|3|London
915215|3|Durham
373178|4|London
83857|4|London
345517|3|London
326401|3|London
1699042|3|Cambridge
1188280|2|Durham
562779|3|Oxford
1178814|3|Durham
1467436|4|Cambridge
184825|2|London
1004661|3|Durham
1577086|4|Cambridge
1445748|4|Cambridge
729894|4|Oxford
533922|4|Oxford
148820|3|London
1743316|3|Cambridge
770113|4|Oxford
637828|3|Oxford
446981|1|London
915321|1|Durham
45175|2|London
692495|3|Oxford
1157549|4|Durham
140788|3|London
416845|2|London
1243396|1|Durham
395503|3|London
991416|3|Durham
1720519|3|Cambridge
695002|1|Oxford
1672361|3|Cambridge
1727295|2|Cambridge
758447|2|Oxford
1786837|3|Cambridge
304562|4|London
1072215|3|Durham
1717421|3|Cambridge
1513947|3|Cambridge
125270|2|London
